model,group_type,group,n,sessions,PREFIX,score_contribution,longitudinal_MAE,lateral_MAE,lateral_abs_total_share
DEV_DIRECT_heldout,groups,steady,99,5,0.19412000506549756,0.009618558809551682,0.925070357559271,0.08671484643639422,0.00012867939751659208
DEV_DIRECT_heldout,semantic,LANE_KEEP,1804,11,0.14771694182473086,0.1333740555814887,0.11798669086001232,0.05324915316263542,0.8038279053908516
DEV_DIRECT_heldout,semantic,TURN_LEFT,39,1,0.2191374657187391,0.004277458039554967,0.15133072188612734,0.13372255244241596,0.033932536704600426
DEV_DIRECT_heldout,semantic,TURN_RIGHT,42,3,0.2786088608532569,0.005856642720639035,0.220007269336489,0.1346635380892877,0.050357727223747706
DEV_DIRECT_heldout,semantic,LANE_CHANGE_L,40,4,0.21518188355088191,0.004307945616634272,0.15523232012421054,0.11141183966642018,0.039678765038250095
DEV_DIRECT_heldout,semantic,LANE_CHANGE_R,73,5,0.17508308259093677,0.0063969294440132055,0.10657959351581264,0.11108769806151435,0.07220306564254997
DEV_DIRECT_heldout,semantic,U_TURN,0,0,,0.0,,,0.0
DEV_DIRECT_heldout,geometry,near_straight_lt5deg,1648,11,0.13889674345413877,0.11456548208829864,0.11333860463892842,0.05459087990252311,0.8010213867646971
DEV_DIRECT_heldout,geometry,gentle_bend_5to15deg,149,9,0.17370365640300645,0.012953876278302284,0.13158894297923723,0.08172246136964156,0.10841628379860872
DEV_DIRECT_heldout,geometry,left_bend_ge15deg,23,2,0.29454360355309933,0.0033906420829435857,0.15420594000174778,0.2178924325324628,0.04462074254831337
DEV_DIRECT_heldout,geometry,right_bend_ge15deg,27,3,0.35965335448733965,0.004860180466045131,0.2994195005355331,0.15383333899657836,0.03698120351189883
DEV_DIRECT_heldout,geometry,turnback_ge135deg,0,0,,0.0,,,0.0
DEV_DIRECT_heldout,geometry,low_motion_or_partial_stop,151,8,0.2440318892219051,0.018442850486740575,0.2993596425748786,0.031503908844905414,0.00896038337648188
